;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1,155, 0,0,1,539423544,38.7, 33825.363,21984.568,53144.637,23527.158,72481.102,19817.529,86021.750,12997.410,99766.633,6823.358,85150.031
 1,156, 0,0,1,539424544,39.3, 33808.723,22154.195,52375.770,23019.848,72872.414,19508.896,86181.008,13058.496,97893.680,6898.798,84640.234
 1,157, 0,0,1,539425544,37.0, 33789.574,22013.025,52429.000,23530.510,72113.078,19682.094,86126.391,12939.809,98619.117,6310.603,84476.039
 1,158, 0,0,1,539426544,36.8, 33999.508,22049.764,52656.500,23600.342,71988.250,19771.910,86024.703,13065.849,98860.195,6880.929,85368.797
 1,159, 0,0,1,539427544,36.4, 33636.387,22111.010,52756.965,23105.324,72265.367,19486.750,86057.055,13135.819,98496.719,5979.765,83818.672
 1,160, 0,0,1,539428544,36.4, 33707.867,22105.465,52614.348,23253.322,72258.641,19881.527,86097.570,13094.075,98922.578,5375.575,83709.969
 1,161, 0,0,1,539429544,36.2, 34100.250,22159.775,53298.742,23234.443,72248.125,19439.174,86279.914,12849.693,99486.227,5470.484,83153.570
 1,162, 0,0,1,539430544,37.7, 33776.719,21948.287,52754.301,23340.109,71945.406,19932.934,86106.961,12888.980,98357.727,6166.595,84276.906
 1,163, 0,0,1,539431544,38.0, 33668.297,22039.221,52757.305,23301.576,72269.438,19927.574,86326.742,13249.634,98370.742,7067.604,85585.609
 1,164, 0,0,1,539432544,38.1, 33666.438,22144.920,53068.621,23258.436,72056.758,19754.885,86359.945,12745.060,99652.188,7147.659,85050.961
 1,165, 0,0,1,539433544,38.5, 33487.727,22194.455,52888.637,23353.434,72004.398,19489.572,86323.391,12898.314,98381.094,6615.500,84551.273
 1,166, 0,0,1,539434544,37.9, 33899.496,21896.178,52767.941,23276.824,72033.625,19624.938,86019.734,12926.504,98812.445,6875.755,84600.195
 1,167, 0,0,1,539435544,37.0, 33998.293,22002.611,52484.777,23221.453,72258.016,19664.436,85934.773,12758.222,97972.570,6209.634,83856.352
 1,168, 0,0,1,539436544,36.5, 33763.277,22243.416,52578.512,23314.465,71907.313,19252.510,86157.836,13031.747,98962.203,6257.557,84099.695
 1,169, 0,0,1,539437544,36.2, 33734.445,22227.457,52816.805,23345.176,72280.016,19909.047,86323.633,13280.390,98716.141,6714.611,85476.680
 1,170, 0,0,1,539438544,36.7, 33541.754,22206.443,52976.895,23170.973,72194.555,19660.674,86396.953,13025.412,98974.758,6114.771,84178.273
 1,171, 0,0,1,539439544,36.4, 33512.621,21996.617,52782.215,23131.355,72162.969,19678.162,86001.086,12936.858,98270.156,6466.252,84209.242
 1,172, 0,0,1,539440544,36.0, 33645.203,21603.566,52890.707,23478.209,71839.242,19709.268,85975.867,13158.334,99499.188,6396.708,84346.086
